Blog	four	looking	second	here	music	until	example	want	how	re	service	needed	project	saying	best	never	asked	much	life	worked	things	had	has	right	old	people	support	happy	inside	time	team	love	working	awesome	such	data	so	years	course	didn	internet	million	city	future	san	say	note	take	going	where	many	wants	photos	single	being	around	world	power	favorite	her	am	having	original	tv	th	small	past	full	experience	social	via	company	learn	states	sense	huge	its	always	found	week	really	obama	also	play	set	see	available	community	recent	person	couple	d	continue	by	anything	clinton	into	link	line	up	us	ago	try	video	let	great	makes	tools	next	process	high	could	start	system	should	means	stuff	email	co	ve	site	off	less	web	become	doing	problem	worth	told	word	work	after	then	them	they	network	another	do	away	com	easy	photo	thanks	night	gawker	post	months	way	update	together	change	live	car	write	remember	still	now	year	space	shows	care	ways	than	form	online	america	only	between	article	comes	these	taking	media	real	read	early	using	business	your	lot	trying	month	very	family	ask	takes	american	help	actually	since	issue	reason	put	pretty	during	x	won	probably	both	else	look	while	user	game	some	doesn	e	go	does	facebook	following	started	control	links	including	him	keep	powerful	need	able	based	she	well	page	twitter	home	he	friends	amp	likely	even	new	tips	ever	call	type	tell	give	amazing	answer	president	before	personal	better	went	side	content	isn	matter	don	m	stop	bad	decided	said	against	appeared	three	website	if	make	left	just	human	yes	yet	super	down	drive	daily	finally	did	run	step	making	may	man	talk	nbsp	group	interesting	within	morning	earlier	thing	think	first	fast	little	anyone	hillary	were	especially	show	get	enough	reading	according	mark	those	different	pay	same	speech	money	again	important	u	public	search	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	part	build	most	services	find	please	simple	create	understand	fun	itself	open	big	bit	google	often	back	either	click	access	others	ll	day	announced	almost	thought	add	smart	like	works	buy	starting	under	every	voice	would	must	me	my	times	end	writers	over	writing	each	got	free	wanted	days	already	top	too	took	talking	though	watch	news	been	everything	hear	check	no	when	focus	cool	level	posts	says	goes	today	trump	information	happened	name	turn	place	view	any	ideas	sure	later	outside	come	case	myself	someone	without	seems	blog	there	all	far	list	design	what	version	short	might	number	party	used	health	friday	feel	story	kind	nothing	his	hit	wrote	art	recently	creating	c	became	due	questions	question	long	called	users	once	issues	apple	app	use	few	something	instead	articles	related	our	out	york	their	which	who	why	words	stories	job	last	will	gets	point	other	know	because	getting	own	apps	made	book	june
	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	2	1	0	2	2	0	0	2	0	5	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	4	0	0	0	0	4	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	1	1	5	1	0	0	0	0	0	1	0	0	1	0	1	0	2	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	7	0	0	0	1	1	1	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	6	0	0	0	0	6	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	5	2	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	2	12	0	0	0	1	0	0	1	0	0	0	0	3	1	1	5	0	0	0	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	1	1	2	1	1	1	9	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	2	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	1	2	0	0	0	0	2	0	0	0	1	1	0	0	0	2	0	0	0	0	3	0	0	1	0	5	1	0	4	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	4	0	0	1	3	0	2	0	0	0	2	1	0	0	0	1	0	0
PaulStamatiou.com - Technology, Design and Photography	3	6	14	22	7	13	10	23	67	36	17	16	31	7	14	9	8	70	8	5	22	70	22	13	17	34	11	3	6	58	22	7	40	1	13	38	57	11	14	18	2	0	3	7	7	6	8	18	16	29	14	1	14	6	11	29	11	1	5	1	6	19	4	1	0	7	4	6	16	1	4	3	7	5	8	8	4	9	12	21	9	0	45	5	10	21	6	2	6	2	0	20	3	60	5	0	42	4	5	63	9	8	9	57	12	17	3	11	16	22	5	31	14	7	18	5	4	7	1	20	45	15	10	18	2	2	6	2	2	2	42	33	32	33	66	23	16	41	6	20	6	12	2	2	0	32	11	28	11	3	10	7	4	8	1	29	42	17	3	44	2	2	24	3	4	0	96	9	8	5	22	8	7	17	5	10	23	0	132	3	8	20	19	3	7	4	0	11	17	25	10	8	14	4	11	22	6	6	8	2	47	43	26	4	53	7	1	12	15	2	0	15	6	1	4	1	10	0	25	15	2	0	22	32	49	7	10	4	26	5	20	74	1	4	17	3	8	6	2	3	0	18	4	60	5	3	7	2	0	26	27	3	2	4	9	0	2	8	68	78	29	1	67	0	4	7	2	19	1	5	2	19	8	10	5	10	0	3	6	6	4	2	2	6	15	17	42	8	4	1	0	36	4	12	69	12	8	0	2	8	7	4	19	0	2	4	0	0	3	1	21	10	3	2	20	20	5	4	10	8	13	3	30	14	18	5	15	4	10	14	3	2	5	7	8	18	59	12	18	5	8	12	5	27	18	3	4	16	5	3	80	8	2	4	3	16	25	83	5	50	197	15	15	0	33	12	12	18	4	18	14	10	6	22	3	5	20	2	12	19	11	0	5	38	87	2	0	8	10	3	4	2	0	0	2	8	2	7	7	34	5	13	14	2	10	7	8	4	13	4	13	46	38	4	4	83	60	9	4	15	20	1	24	0	0	16	4	2	4	8	6	6	3	6	8	6	6	5	12	1	10	7	19	1	13	2	45	56	43	29	6	7	3	43	45	2	32	20	2	16	1	3	4	27	89	3	14	34	14	7	18	20	10	15	1	1
Search Engine Roundtable	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	2	1	2	0	0	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	2	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	3	2	1	0	0	0	0	0	1	1	0	2	1	2	1	0	0	0	1	1	1	0	2	2	1	0	0	0	0	0	2
Copyblogger	0	0	1	0	0	0	0	3	6	4	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	4	1	1	0	0	0	4	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	10	0	0	6	12	0	0	1	0	2	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	2	0	2	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	10	0	1	1	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	2	0	0	0	1	3	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	3	0	2	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	1	0
Joi Ito's Web	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	3	0	0	1	0	1	0	1	1	0	0	3	0	0	0	0	0	0	0	1	3	0	0	0	0	1	1	3	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	3	0	0	1	2	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	1	0	6	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	2	1	1	0	2	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	1	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	1	0	0	1	0	0	7	1	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	2	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0
TMZ.com	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	5	0	1	0	1	1	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	4	0	0	0	9	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	2	0	1	3	0	1	2	0	0	0	0	0	0	2	0	2	0	1	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	3	0	1	4	0	2	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	5	0	0	0	0	5	1	1	0	0	1	0	0	0	0	1	2	0	0	0	2	0	1	0	0	0	0	0	1	1	1	0	0	0	2	0	1	0	2	0	0	5	0	1	0	2	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	3	4	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	1	0	0	3	3	2	0	0	2	0	0	1	0	0	0	0	1	0	1	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	1	0	6	0	0	0	1	2	0	0	0	0	1	1	0	1	0	3	0	0
A Consuming Experience (full feed)	0	0	0	14	0	1	4	12	12	10	1	2	1	3	4	0	1	1	0	6	3	14	8	12	5	8	1	0	3	13	0	1	6	0	0	3	26	1	0	4	3	0	0	1	0	2	7	3	2	13	4	0	0	2	0	0	0	0	0	0	0	4	11	2	0	0	1	4	0	0	2	0	0	0	0	0	8	5	10	0	3	0	10	0	5	21	2	0	3	0	1	7	3	11	4	0	1	0	3	20	0	0	13	1	1	0	0	5	7	2	0	7	10	5	11	1	1	0	1	19	3	1	0	1	0	1	10	3	0	21	12	12	38	7	6	2	2	16	0	2	2	0	1	0	0	11	0	14	0	0	6	28	0	0	1	3	12	0	4	1	1	2	6	0	2	0	17	1	0	0	0	2	0	1	2	0	18	0	63	3	6	0	2	0	0	3	0	1	0	3	0	2	0	1	0	3	2	2	10	3	4	2	1	0	14	7	4	15	1	0	2	2	0	0	1	0	9	0	7	0	2	0	5	2	0	0	0	0	2	1	11	22	4	0	0	5	0	0	0	0	0	13	1	2	0	0	0	3	0	17	1	4	0	0	0	2	0	0	1	56	19	10	34	0	5	3	0	9	6	0	1	3	4	5	0	13	0	0	29	0	0	3	0	3	2	1	9	1	0	0	0	7	1	3	17	1	0	0	0	5	3	0	15	0	0	13	0	0	0	4	4	0	0	0	1	2	0	0	4	0	1	4	0	0	7	2	9	5	0	2	0	0	1	45	1	13	4	0	8	1	21	0	1	11	1	0	1	0	17	0	18	4	0	3	1	5	0	5	1	10	22	1	1	0	9	0	2	4	5	1	1	7	9	3	1	0	4	0	1	5	3	0	5	11	17	0	0	2	20	1	0	0	0	0	1	13	0	1	9	2	0	13	3	0	0	6	1	0	5	5	15	23	14	0	3	0	10	13	0	1	4	0	5	0	0	1	0	1	2	0	2	0	0	2	1	4	1	0	0	0	3	4	0	4	5	0	0	22	1	6	2	0	0	0	5	0	3	14	2	2	0	0	0	0	15	1	3	15	3	13	1	3	0	4	0	2
ProBlogger	0	7	0	14	0	0	3	11	62	35	0	2	0	4	13	10	3	7	6	2	11	5	14	13	0	19	2	3	1	33	1	6	3	0	0	0	27	7	1	4	0	1	0	1	0	9	5	14	21	7	20	1	1	0	18	5	8	1	0	16	7	3	0	0	0	5	2	5	2	7	2	0	12	0	2	2	4	8	6	6	24	0	15	0	8	9	1	0	0	7	2	9	1	21	3	0	11	0	1	22	1	1	5	4	7	18	2	4	1	1	2	5	17	1	18	1	1	4	0	21	12	6	1	3	1	10	0	6	0	4	24	4	10	16	28	4	11	44	6	5	6	3	1	1	0	35	4	15	3	0	2	3	0	12	2	5	6	4	0	1	1	9	5	6	7	0	5	2	1	6	18	1	6	10	5	1	8	13	135	5	5	2	6	3	14	3	0	18	3	0	3	0	6	5	0	5	3	3	1	3	17	8	0	0	31	2	1	13	2	20	5	4	0	1	3	0	4	6	30	8	2	11	12	11	0	2	7	1	1	1	11	24	21	4	3	6	5	10	1	9	0	5	12	15	2	2	32	2	11	19	15	2	2	4	1	0	25	1	7	74	13	1	8	0	3	2	0	8	4	2	0	12	1	5	5	9	0	9	8	1	2	0	0	1	11	12	40	2	6	1	0	1	0	7	49	2	11	0	1	10	9	2	10	0	4	2	6	0	2	1	4	3	5	2	15	13	2	0	13	0	6	4	3	10	18	3	13	5	8	8	2	1	2	5	3	5	2	2	9	3	5	2	8	5	5	0	0	1	1	1	30	1	2	7	4	8	4	16	1	18	44	7	2	0	14	11	1	5	7	0	3	4	6	7	2	4	2	0	1	12	3	2	2	12	33	4	0	2	9	0	2	24	0	4	0	41	0	3	2	11	5	4	2	2	5	3	6	9	7	0	119	31	23	1	11	14	50	5	2	8	4	0	6	2	1	4	6	1	1	4	2	4	2	2	13	0	2	0	17	18	15	2	3	5	1	0	0	28	4	14	2	2	25	13	30	0	20	9	31	8	1	6	4	4	19	1	5	10	14	11	4	3	0	2	6	0
Steve Pavlina	0	1	0	1	0	0	0	1	3	4	0	0	2	0	1	1	0	0	3	0	0	1	2	0	1	24	1	2	0	1	0	1	0	0	0	0	8	2	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	3	0	0	1	0	0	1	0	0	5	0	1	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	6	0	3	0	0	0	1	0	3	0	0	2	0	1	2	0	0	1	0	0	1	0	1	0	1	0	7	0	2	6	0	0	0	1	0	2	0	0	0	3	0	1	0	4	0	0	1	0	18	0	0	0	0	0	20	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	3	2	1	0	1	0	2	0	2	1	0	0	1	0	0	0	17	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	2	1	0	2	0	1	0	0	0	0	2	0	0	0	0	1	2	0	1	0	0	0	1	1	8	1	1	0	0	1	1	1	2	3	1	20	0	0	0	1	0	0	0	6	0	0	0	0	1	20	0	3	15	3	0	1	1	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	1	0	1	0	0	0	1	23	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	4	0	0	1	1	0	0	0	0	0	0	27	1	0	0	1	2	0	2	1	2	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	20	3	0	0	1	0	1	0	1	0	1	8	0	0	0	0	1	0	0	3	2	0	0	0	2	1	0	0	0	0	5	0	0	0	0	1	1	0	0	3	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	5	1	2	1	4	1	4	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	2	1	2	0	0	3	0	0	1	0	1	0	1	0	3	2	0	2	3	0	1	1	0	0	0	2	0	1	2	2	0	1	3	0	0	2	1
mezzoblue	0	0	0	1	0	0	0	0	2	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	3	0	0	0	0	0	1	0	0	0	1	2	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	5	2	1	0	3	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	2	0	1	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	3	0	0	0	3	0	0	1	2	0	0	0	0	1	0	0	0	0	1	3	0	1	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
